Mon,Mkt_Rf,rf,SMB,VMG
200501,-0.064160536,0.001856,-0.004671661,0.01972677
200502,0.095277823,0.001856,0.014143242,0.011556855
200503,-0.096842749,0.001856,-0.031357613,0.044254063
200504,-0.026809146,0.001856,-0.047427437,0.083985503
200505,-0.084280712,0.001856,0.051477071,-0.049527832
200506,0.015592315,0.001856,-0.00582244,0.057959334
200507,-0.00551637,0.001856,-0.064715642,0.080534677
200508,0.088867097,0.001856,0.083227374,-0.048729113
200509,-0.004650265,0.001856,0.028143276,0.015772176
200510,-0.056889186,0.001856,0.002317006,0.021057587
200511,0.005322,0.001856,0.010609831,-0.010042456
200512,0.05915359,0.001856,-0.042424178,0.043075078
200601,0.085769013,0.001856,-0.011165911,0.006376449
200602,0.035522897,0.001856,-0.010707842,-0.022318782
200603,0.003598772,0.001856,-0.012640496,0.01932681
200604,0.114555867,0.001856,-0.035402005,0.059853734
200605,0.162999797,0.001856,0.104872291,-0.0604904
200606,0.025306991,0.001856,0.055808311,0.028541483
200607,-0.065053802,0.001856,0.048274302,-0.021298802
200608,0.037186304,0.002076,-0.012358742,0.000729328
200609,0.04591349,0.002076,0.002416748,-0.015746509
200610,0.025762631,0.002076,-0.014597988,0.069861071
200611,0.139763756,0.002076,-0.118537202,0.056512614
200612,0.135450954,0.002076,-0.080877841,0.07259836
200701,0.128096332,0.002076,0.091839402,0.004675926
200702,0.063938409,0.002076,0.114870954,-0.081893907
200703,0.116609515,0.002296,0.083209351,-0.059141644
200704,0.240079721,0.002296,0.043745381,-0.084372054
200705,0.093413436,0.002515,-0.022711569,-0.007053178
200706,-0.097099943,0.002515,-0.075714146,0.125933097
200707,0.173527244,0.002734,0.080238908,-0.010781374
200708,0.150837418,0.002952,-0.048423934,-0.003065585
200709,0.063272526,0.003169,-0.013812387,0.039135311
200710,0.053245588,0.003169,-0.137139129,0.131064159
200711,-0.150107084,0.003169,0.115393225,0.01440492
200712,0.112584449,0.003386,0.088600925,-0.004369462
200801,-0.163395354,0.003386,0.085700194,-0.030114094
200802,0.023187653,0.003386,0.091063874,-0.001152984
200803,-0.195890047,0.003386,0.016157131,0.019133803
200804,0.058231519,0.003386,-0.111670911,0.075747743
200805,-0.086915403,0.003386,0.03906538,-0.068994616
200806,-0.204149986,0.003386,-0.043935639,0.038185675
200807,0.016516747,0.003386,0.082905504,-0.026033167
200808,-0.140645061,0.003386,-0.07609187,0.030579608
200809,-0.057407362,0.003386,-0.059503092,-0.03365618
200810,-0.251266136,0.002952,0.009766252,0.051644768
200811,0.094981838,0.002076,0.111822514,-0.034015423
200812,-0.024959627,0.001856,0.112597248,0.03084358
200901,0.091204936,0.001856,0.070372744,-6.38E-05
200902,0.046953618,0.001856,0.035107515,-0.036300313
200903,0.139760915,0.001856,0.086704881,-0.019185711
200904,0.043103929,0.001856,0.049708436,0.041379814
200905,0.059714846,0.001856,0.024162782,-0.023212958
200906,0.140783746,0.001856,-0.069710096,0.026902008
